idx,geo_id,name,centroid_lon,centroid_lat,area_m2,land_m2,water_m2,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_18_CVAP_Total,V_18_CVAP_White,V_18_CVAP_Hispanic,V_18_CVAP_Black,V_18_CVAP_Asian,V_18_CVAP_Native,V_18_CVAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_RemTwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,outer_perimeter_m,parent_state,parent_county,parent_tract,parent_group,parent_vtd
0,18131,Pulaski County,-86.6925383,41.0452718,1125437623.0,1123212810.0,2224813.0,13402,12823,325,104,50,109,4,12660,11962,372,151,88,113,0,12559,11821,378,131,102,119,19,12514,11442,458,153,99,316,12,12482,11715,391,150,70,127,39,12498,11579,422,163,94,112,66,10204,9863,168,60,33,80,4,9705,9300,224,49,40,78,0,9645,9235,235,24,34,87,20,9778,9037,302,79,67,246,4,9778,9037,302,51,33,19,3,9,324,9599,9160,188,110,27,70,40,9705,9195,193,157,19,81,35,30,6033,2466,3368,5228,1876,3352,5485,1327,3854,5341,1859,3109,5255,2069,3001,5056,1350,3706,4359,1617,2583,5247,1613,3473,5806,1463,4246,5768,1019,3874,5552,1454,4098,0.0,18,,,,
1,18013,Brown County,-86.2301205,39.1951133,820069839.0,808043849.0,12025990.0,15242,14761,178,85,78,147,8,15034,14392,249,224,86,123,0,15061,14407,259,154,121,158,0,15475,14463,270,122,97,393,9,15093,14400,272,262,41,154,0,15513,14722,324,135,109,195,56,12070,11766,114,43,47,102,6,12225,11775,128,145,75,108,0,12290,11820,125,99,115,154,0,12642,11909,170,84,73,294,5,12642,11909,170,48,52,29,5,37,392,12353,11854,125,208,29,128,0,12730,12200,175,90,48,152,55,0,8066,3854,4060,7388,3052,4336,8001,2518,5016,7990,2907,4616,7961,3201,4488,7785,2521,5264,7189,2768,4103,8128,2911,4946,8981,3036,5777,8957,2381,4953,8766,3141,5625,0.0,18,,,,
2,18019,Clark County,-85.7111221,38.4762174,975358243.0,965625489.0,9732754.0,110234,93889,5350,9134,1228,844,154,115704,96635,6147,10480,1588,809,306,116505,96940,6263,10822,1667,878,193,121093,95403,7891,12531,2106,3052,279,117410,96756,6450,11100,1704,904,250,121484,98943,7115,12526,1930,1721,173,84124,73647,3268,5882,835,616,86,87242,76636,2178,6892,894,473,30,87836,77016,2085,7165,911,574,15,93523,76607,4795,8183,1420,2280,167,93523,76607,4795,6920,1026,201,82,276,3616,88503,77414,2035,7332,941,568,15,92000,79645,2546,7944,1077,654,15,202,47768,21918,25299,46215,20778,25437,51789,18808,30035,51121,21415,27684,50352,20294,28440,48523,18294,30229,43284,18551,22766,51614,20752,29251,57869,23093,33668,57426,19077,34669,55334,22416,32918,56447.592435848994,18,,,,
3,18109,Morgan County,-86.4474573,39.4826458,1060414817.0,1045924429.0,14490388.0,68894,66782,820,396,377,506,44,69727,67069,1053,576,573,470,0,69931,67134,1102,603,625,505,6,71780,66972,1274,811,507,1750,59,70141,66924,1176,640,666,524,5,71757,67914,1320,846,671,659,87,51566,50314,501,152,220,364,27,53275,51710,663,271,225,362,0,53570,51920,705,292,274,376,0,55773,52548,783,399,341,1328,34,55773,52548,783,240,216,157,11,110,1708,53889,52145,737,311,282,357,0,55445,53545,778,370,341,386,0,80,28905,10330,18129,27524,7936,19588,31446,6040,23674,31037,7821,21193,30919,9356,20430,29899,5926,23973,25158,6471,17539,31540,7514,22903,36155,7781,27512,35947,5602,22161,34884,7826,27058,0.0,18,,,,
4,18053,Grant County,-85.6549455,40.5157575,1074586275.0,1072484471.0,2101804.0,70054,60632,2511,5917,615,580,61,66944,56999,2814,6003,821,545,93,66452,56430,2846,6044,830,683,96,66674,54500,3412,6403,771,1571,58,66055,55888,2938,6176,808,827,49,66560,55894,3145,6191,847,974,88,54890,48921,1504,3691,429,436,46,52750,46380,1689,3696,498,386,30,52100,45895,1697,3665,323,464,15,52856,44576,2173,4190,575,1213,40,52856,44576,2173,3532,430,131,16,144,1854,51781,45509,1733,3692,344,450,2,51775,45460,1698,3748,350,464,0,83,26542,11292,14731,24669,9555,15114,25572,7010,17008,25272,8345,15280,25065,9257,14928,24259,6951,17308,20067,6745,12393,24715,7812,16051,27142,8015,18543,27021,5849,16847,26138,7872,18266,0.0,18,,,,
5,18141,St. Joseph County,-86.2880476,41.6177233,1194983074.0,1185636242.0,9346832.0,266931,201701,19395,38255,6342,2825,428,269240,196732,22901,40212,8084,2790,740,270271,196114,23503,40906,8453,2792,676,272912,188556,26576,43155,8881,6184,462,270881,194591,24153,41597,8763,2854,594,272388,192343,25949,42310,9305,3318,427,201080,160256,11224,23861,4545,1882,251,196165,157230,9478,24200,3220,1447,151,196940,156910,10129,24535,3327,1511,139,210201,153930,16814,28043,6580,4385,311,210201,153930,16814,24853,5307,600,139,866,7692,197704,156508,10696,24753,3765,1528,68,199675,155975,11919,25391,4305,1536,133,476,118828,68710,48510,108931,56433,52498,111842,52252,52021,110965,56749,47353,110149,57835,48839,106554,45320,61234,93287,53758,36456,108128,56116,48510,114985,59896,53164,114693,48610,60696,110066,56536,53530,38343.97844281356,18,,,,
6,18149,Starke County,-86.6446359,41.2844785,808608956.0,800679813.0,7929143.0,23363,22212,766,132,75,209,2,22941,21655,835,186,214,84,5,22953,21629,869,340,88,54,2,23371,21395,902,172,123,569,24,22996,21544,919,303,94,150,1,23308,21450,1037,140,119,448,1,17667,16942,472,60,52,153,2,17375,16760,473,37,44,44,0,17400,16755,516,52,29,44,0,18150,16816,584,96,78,409,17,18150,16816,584,47,29,50,0,34,590,17473,16728,574,41,16,83,0,17850,16870,648,72,36,236,0,14,9536,4779,4474,8564,3806,4758,9316,2489,6367,9039,3443,4895,8968,3903,4694,8677,2931,5746,7581,3117,4148,9106,3056,5745,10290,2650,7466,10183,2026,6730,9738,2877,6861,0.0,18,,,,
7,18045,Fountain County,-87.2348725,40.1212366,1030503333.0,1024774340.0,5728993.0,17240,16598,373,67,70,132,8,16486,15732,406,126,91,141,10,16430,15660,414,136,78,159,6,16479,15349,412,174,85,363,25,16456,15653,427,139,107,151,15,16468,15524,464,81,109,262,14,13066,12672,228,28,43,92,6,12665,12265,195,75,4,120,0,12670,12240,239,42,4,147,0,12907,12139,268,80,71,273,8,12907,12139,268,34,37,32,1,19,377,12723,12254,246,47,1,117,0,12805,12310,270,44,8,186,0,22,7491,3094,4158,6881,2216,4665,7534,1476,5662,7503,2071,4982,7474,2404,4792,7282,1468,5814,5869,1496,4060,7315,1768,5278,7983,1629,6154,7952,1150,5189,7861,1811,6050,0.0,18,,,,
8,18159,Tipton County,-86.0562066,40.3102294,674865626.0,674797598.0,68028.0,15936,15355,346,77,88,66,15,15218,14472,412,74,117,101,61,15145,14372,425,138,118,112,0,15359,14367,434,136,113,254,20,15154,14330,458,174,133,125,0,15328,14454,469,196,163,120,7,12233,11915,190,22,56,47,11,11995,11495,258,48,54,97,40,11920,11495,213,33,74,107,0,12072,11433,277,47,75,197,14,12072,11433,277,31,38,12,0,29,252,11843,11493,180,43,39,88,0,12070,11610,250,62,58,76,0,4,7839,3240,4428,7203,2416,4787,7570,1587,5589,7519,2260,4760,7463,2492,4712,7188,1561,5627,6127,1734,4062,7416,1969,5191,8115,1834,6110,8076,1200,5169,7811,1987,5824,0.0,18,,,,
9,18025,Crawford County,-86.4408711,38.2894327,799735894.0,791534788.0,8201106.0,10713,10390,126,47,36,103,13,10581,10188,151,72,2,211,0,10569,10151,158,64,7,230,0,10526,9989,121,89,33,236,15,10582,10140,169,68,10,223,0,10511,10016,79,217,132,170,0,8218,8037,56,21,22,73,11,8230,8000,62,28,4,139,0,8145,7985,62,43,4,63,0,8221,7871,71,41,17,176,6,8221,7871,71,14,14,14,0,8,229,8236,7982,79,41,10,91,0,8230,7915,80,87,54,63,0,20,4803,2286,2393,4471,2037,2434,4642,1323,3015,4570,1890,2500,4466,1924,2381,4154,1346,2808,3957,1501,2249,4503,1572,2779,4944,1355,3483,4859,1242,3064,4583,1494,3089,29998.040698916047,18,,,,
10,18155,Switzerland County,-85.029681,38.8258545,579058090.0,571526245.0,7531845.0,10613,10318,147,56,23,62,5,10628,10157,208,131,93,39,70,10685,10191,211,150,97,36,75,9737,9262,114,80,47,192,17,10727,10216,211,155,73,53,82,9896,9340,207,123,24,156,42,7891,7726,70,31,14,48,3,7905,7655,94,44,69,35,0,7955,7690,84,45,95,40,0,7347,7012,66,41,41,159,13,7347,7012,66,14,20,24,0,9,202,8073,7753,104,85,76,51,0,7490,7175,103,58,8,134,0,15,3688,1638,1940,3291,1424,1867,3709,930,2558,3642,1242,2260,3595,1379,2116,3459,1057,2402,2925,936,1874,3642,1063,2484,4152,964,3133,4080,822,2846,3951,984,2967,59088.05688358513,18,,,,
11,18035,Delaware County,-85.3992617,40.2275433,1025400013.0,1015536280.0,9863733.0,117671,103721,2088,9525,1577,921,188,115616,100534,2751,9726,2067,801,278,115019,99835,2847,9796,2036,838,270,111903,93333,3533,10558,1936,2204,162,114461,99008,2873,9777,2152,868,155,112156,96143,3003,9672,2267,984,194,94098,84658,1324,6335,1206,660,116,92360,82980,1564,6385,683,543,84,92315,82600,1697,6505,775,537,90,90284,76990,2510,7366,1457,1668,99,90284,76990,2510,6274,1115,166,40,248,2941,92141,82260,1676,6568,847,587,56,90830,80709,2012,6501,819,685,24,182,50190,28394,20916,43884,22661,21223,45509,18153,24263,44896,20578,21557,44638,22195,20777,43038,17597,25441,37705,18159,17447,44633,19980,22919,48191,20474,26827,47949,15638,26829,47076,20242,26834,0.0,18,,,,
12,18147,Spencer County,-87.0103746,38.0096966,1039903457.0,1027918647.0,11984810.0,20952,20101,517,166,91,93,2,20526,19495,589,245,85,95,13,20447,19397,593,262,92,98,0,19810,18368,676,254,134,317,9,20364,19233,604,259,91,102,1,19935,18727,636,278,101,117,1,15889,15397,275,83,57,81,1,15815,15305,248,137,49,86,15,15755,15255,230,149,47,79,0,15448,14512,395,157,90,240,5,15448,14512,395,108,61,40,1,16,315,15803,15246,259,152,66,98,0,15370,14800,257,154,77,87,0,14,10264,5037,4998,9541,4036,5505,10048,2861,6572,9883,3960,5465,9774,4030,5511,9518,3034,6484,8875,3218,5202,9949,3595,6066,10769,3213,7357,10659,2461,7272,10452,4314,6138,59322.5951254611,18,,,,
